id,title,firstName,lastName,gender,nationality,residentialStatus,email,phone,dualNationality,countyOfBirth,ethnicOrigin,highestQualificationOnEntry,highestQualification,lastInstitutionAttended,currentUKInstitution,uniqueLearnerNumber,nameOfQualification,yearAchieved,subject,grade,passportNo,passportPlaceOfIssue,timeInPublicCare,disabilityOrSpecialNeeds,personalStatement,documentIds,permHouseNumberOrName,permStreet,permCityOrTown,permCountyStateOrProvince,permCountry,permPostCode,curHouseNumberOrName,curStreet,curCityOrTown,curCountyStateOrProvince,curCountry,curPostCode,nokName,nokRelation,nokPhone,nokEmail
27,MR,Svetlana,Tauras,MALE,Egypt,RESIDENT,svetlana_tauras@tauras.co.uk,01781-827317,YES,United Kingdom,Irish,access to higher education diploma,level 3 NVQ,The Old College of the University of Edinburgh,"The Open University, Milton Keynes (an open-access distance learning university)",N/A,City & Guilds Level 2 Award in Book-Keeping and Accounts,2014,Law,MERIT,23456798,United Kingdom,6,NO,,23456798,8289,CadoganSt,South Ward,North Eart Lincolnshire,UK,S40 4LY,8289,CadoganSt,South Ward,North Eart Lincolnshire,UK,S40 4LY,Billy Venus,COUSIN,01537-356648,billy.venus@yahoo.com
28,MISS,Pok,Molaison,FEMALE,Brazil,RESIDENT,pok@yahoo.com,01866-248660,YES,Egypt,Indian,"music grades 6, 7 and 8",access to higher education diploma,Plymouth Marjon University (formerly the University of St Mark & St John),Cardiff Metropolitan University (formerly University of Wales Institute Cardiff),N/A,City & Guilds Level 2 Certificate In Providing Financial Services,2014,Architecture,PASS,34563422,Egypt,9,YES,,34563422,211,HobartSt,Newquay,Cornwall,UK,DG8 7DE,211,HobartSt,Newquay,Cornwall,UK,DG8 7DE,Brynn Elkan,COUSIN,01388-416867,brynn@yahoo.com
29,MR,Augustine,Growcock,MALE,Philippines,RESIDENT,augustine.growcock@growcock.co.uk,01541-802635,NO,France,"Any other Black, Black British, or Caribbean background",AS level,level 3 award,"University for the Creative Arts, Canterbury, Epsom, Farnham, Maidstone and Rochester",Imperial College London [Note 2],N/A,City & Guilds Level 2 Award in Providing Financial Services,2014,Politics,PASS,45675398,France,5,YES,,45675398,114,FalklandSt#8845,Brimpton,Berkshire,UK,EH52 5TL,114,FalklandSt#8845,Brimpton,Berkshire,UK,EH52 5TL,Elroy Piehler,COUSIN,01589-654152,epiehler@piehler.co.uk
30,MR,Karma,Quarto,FEMALE,Germany,RESIDENT,kquarto@gmail.com,01857-864722,YES,DR Congo,Any other White background,level 3 certificate,international Baccalaureate diploma,University of Plymouth,Wrexham Glyndŵr University,N/A,Gateway Qualifications Level 2 Award In Risk Screening and Conversation Management Techniques,2016,Sports Science,MERIT,98765490,DR Congo,1,YES,,98765490,1,BirkettSt,Shard End Ward,West Midlands,UK,BS23 3HG,1,BirkettSt,Shard End Ward,West Midlands,UK,BS23 3HG,Anisha Shulick,BROTHER,01780-704167,ashulick@yahoo.com
31,MISS,Reed,Weisinger,FEMALE,Japan,RESIDENT,reed_weisinger@yahoo.com,01243-678286,YES,Indonesia,Chinese,international Baccalaureate diploma,level 3 diploma,University of Hull,University of Plymouth,N/A,Highfield Level 2 Certificate in Computerised Payroll (RQF),2016,History of Art Architecture and Design,PASS,87643289,Indonesia,9,NO,,87643289,5147,BlackstoneSt,Letchworth South West Ward,Hertfordshire,UK,IP25 6JQ,5147,BlackstoneSt,Letchworth South West Ward,Hertfordshire,UK,IP25 6JQ,Bettina Kham,COUSIN,01355-192668,bettina.kham@kham.co.uk
32,MR,German,Zelaya,FEMALE,Russia,RESIDENT,german@hotmail.com,01400-269033,NO,Mexico,Any other Mixed or multiple ethnic background,A level,advanced apprenticeship,University of Northampton,"University of Buckingham, private",N/A,CII Level 2 Award in Life and Pensions Foundations,2014,English,MERIT,65432189,Mexico,8,NO,,65432189,7,ShenstoneSt,Longhill Ward,"Yorkshire, East (North Humbers",UK,BH25 5DF,7,ShenstoneSt,Longhill Ward,"Yorkshire, East (North Humbers",UK,BH25 5DF,Velda Mancilla,COUSIN,01823-526645,velda_mancilla@mancilla.co.uk
33,MISS,Milly,Savidge,FEMALE,United States,RESIDENT,milly@gmail.com,01702-725589,NO,United Kingdom,Any other Asian background,level 3 national certificate,level 3 ESOL,"University of Lincoln, Lincoln, Riseholme and Holbeach",Liverpool Hope University,N/A,City & Guilds Level 2 Award in Computerised Accounts,2014,Anatomy and Physiology,MERIT,78534590,United Kingdom,4,NO,,78534590,129,AlexanderPopeSt,Franche Ward,Hereford and Worcester,UK,EX39 5DJ,129,AlexanderPopeSt,Franche Ward,Hereford and Worcester,UK,EX39 5DJ,Marta Brace,BROTHER,01777-469402,marta.brace@brace.co.uk
34,MR,Luis,Ear,FEMALE,Vietnam,RESIDENT,luis@hotmail.com,01462-648669,NO,Bangladesh,"English, Welsh, Scottish, Northern Irish or British",tech level,level 3 certificate,University of Wolverhampton,University of Wolverhampton,N/A,City & Guilds Level 2 Award in Book-Keeping and Accounts,2014,Economics,PASS,67589076,Bangladesh,9,YES,,67589076,2,BirchfieldRd,Whittington,Shropshire,UK,S4 7WN,2,BirchfieldRd,Whittington,Shropshire,UK,S4 7WN,Juan Vanwyhe,BROTHER,01961-642757,juan_vanwyhe@gmail.com
35,MISS,Ciara,Cobbley,MALE,China,RESIDENT,ciara_cobbley@hotmail.com,01235-647932,NO,Mexico,White and Black Caribbean,advanced apprenticeship,tech level,"The iconic King's College Chapel of the University of Cambridge (centre), built between 1441 and 1515",University of Hull,N/A,City & Guilds Level 2 Certificate In Providing Financial Services,2014,Accounting and Finance,PASS,23489076,Mexico,1,NO,,23489076,7523,KemptonRd,Cockerton West Ward,Darlington,UK,TQ3 1SA,7523,KemptonRd,Cockerton West Ward,Darlington,UK,TQ3 1SA,Lelia Filion,BROTHER,01367-136951,lelia.filion@filion.co.uk
36,MISS,Alethea,Mould,MALE,India,RESIDENT,alethea@hotmail.com,01662-114247,YES,Nigeria,White and Black African,level 3 NVQ,level 3 national certificate,"University of Suffolk, Ipswich, Bury St Edmunds, Great Yarmouth, Lowestoft",Regent's University London,N/A,City & Guilds Level 2 Award in Providing Financial Services,2014,Business and Management Studies,PASS,45689076,Nigeria,7,NO,,45689076,6305,ElstowSt,Castle Ward,West Sussex,UK,LL19 9EG,6305,ElstowSt,Castle Ward,West Sussex,UK,LL19 9EG,Una Frankel,BROTHER,01912-749219,ufrankel@hotmail.com
37,MISS,Margurite,Loperfido,FEMALE,Iran,RESIDENT,mloperfido@gmail.com,01407-866759,YES,DR Congo,White and Asian,applied general,A level,"The Open University, Milton Keynes (an open-access distance learning university)","University of Suffolk, Ipswich, Bury St Edmunds, Great Yarmouth, Lowestoft",N/A,Gateway Qualifications Level 2 Award In Risk Screening and Conversation Management Techniques,2016,Archaeology,MERIT,25534512,DR Congo,6,YES,,25534512,218,GreenbankDrive,Devizes,Wiltshire,UK,DY5 2QP,218,GreenbankDrive,Devizes,Wiltshire,UK,DY5 2QP,Eva Joulwan,COUSIN,01779-720349,eva.joulwan@gmail.com
38,MISS,Vernice,Sperazza,FEMALE,Ethiopia,RESIDENT,vernice@yahoo.com,01822-563044,YES,Russia,African,level 3 national diploma,"music grades 6, 7 and 8",Manchester Metropolitan University,"Royal Agricultural University, Cirencester",N/A,Highfield Level 2 Certificate in Computerised Payroll (RQF),2014,Pharmacology and Pharmacy,PASS,23456798,Russia,3,NO,,23456798,8921,ForgeSt,Colnbrook with Poyle,Buckinghamshire,UK,CR6 9SW,8921,ForgeSt,Colnbrook with Poyle,Buckinghamshire,UK,CR6 9SW,Mammie Dormanen,COUSIN,01527-579687,mammie_dormanen@hotmail.com
39,MISS,Vicente,Rawicki,FEMALE,Indonesia,RESIDENT,vicente_rawicki@hotmail.com,01327-770774,NO,DR Congo,Caribbean,level 3 award,applied general,University of Leicester,Plymouth Marjon University (formerly the University of St Mark & St John),N/A,AAT Access Award in Business Skills – Level 1,2014,Criminology,MERIT,34563422,DR Congo,7,NO,,34563422,218,RembrandtSt,Aldridge Central and South War,West Midlands,UK,PO30 5AL,218,RembrandtSt,Aldridge Central and South War,West Midlands,UK,PO30 5AL,Jeannetta Coolidge,BROTHER,01927-790069,jeannetta_coolidge@gmail.com
40,MR,Craig,Cua,FEMALE,Pakistan,RESIDENT,craig@hotmail.com,01483-418969,NO,Indonesia,Arab,level 3 diploma,level 3 national diploma,Imperial College London [Note 2],University of Leeds,N/A,City & Guilds Level 1 Award in Computerised Accounts,2014,Fashion,MERIT,45675398,Indonesia,7,NO,,45675398,8388,NelsonSt#58,East Putney Ward,Greater London,UK,PO19 1RH,8388,NelsonSt#58,East Putney Ward,Greater London,UK,PO19 1RH,Elbert Drawe,BROTHER,01753-784273,edrawe@drawe.co.uk
41,MISS,Jenise,Dulle,MALE,France,RESIDENT,jenise.dulle@hotmail.com,01709-854691,NO,Brazil,Bangladeshi,level 3 ESOL,AS level,"University of the West of England, Bristol","Roehampton University, London",N/A,City & Guilds Level 1 Award in Book-Keeping and Accounts,2014,Creative Writing,PASS,98765490,Brazil,5,NO,,98765490,87,RossettSt,Sawston,Cambridgeshire,UK,HS1 2PZ,87,RossettSt,Sawston,Cambridgeshire,UK,HS1 2PZ,Lenny Gazzola,COUSIN,01312-233253,lenny.gazzola@yahoo.com
42,MR,Marylin,Cornelison,MALE,Nigeria,RESIDENT,marylin_cornelison@yahoo.com,01609-882184,YES,Vietnam,Pakistani,access to higher education diploma,level 3 NVQ,University of Liverpool,Bangor University,N/A,Highfield Level 1 Award in Accounting (RQF),2014,Mechanical Engineering,MERIT,87643289,Vietnam,6,NO,,87643289,39,CanningSt,Wakefield North Ward,West Yorkshire,UK,DN33 1AU,39,CanningSt,Wakefield North Ward,West Yorkshire,UK,DN33 1AU,Mira Alpheaus,COUSIN,01241-273991,mira.alpheaus@yahoo.com
43,MISS,Marget,Gunst,MALE,United Kingdom,RESIDENT,mgunst@yahoo.com,01693-310794,NO,Brazil,Roma,"music grades 6, 7 and 8",access to higher education diploma,Lancaster University,Manchester Metropolitan University,N/A,Highfield Level 1 Award in Computerised Payroll (RQF),2016,Sociology,PASS,65432189,Brazil,8,NO,,65432189,2732,CadoganSt,St. Enoder,Cornwall,UK,TR7 1LS,2732,CadoganSt,St. Enoder,Cornwall,UK,TR7 1LS,Cathern Ungar,COUSIN,01898-134749,cathern.ungar@ungar.co.uk
44,MISS,Annett,Bunselmeyer,MALE,DR Congo,RESIDENT,abunselmeyer@hotmail.com,01891-702579,YES,Germany,Any other ethnic group,AS level,level 3 award,"University of Hertfordshire, Hatfield",University of Portsmouth,N/A,IAB  Level 1 Award in Computerised Bookkeeping,2014,Physiotherapy,PASS,78534590,Germany,5,NO,,78534590,5562,HobartSt,Ryde,Isle of Wight,UK,RG7 4RF,5562,HobartSt,Ryde,Isle of Wight,UK,RG7 4RF,Malcom Fleckles,COUSIN,01478-110943,malcom.fleckles@gmail.com
45,MISS,Kip,Turziano,MALE,Turkey,RESIDENT,kip.turziano@yahoo.com,01850-347846,NO,Turkey,Gypsy or Irish Traveller,level 3 certificate,international Baccalaureate diploma,Bangor University,University of Bath,N/A,IAB  Level 1 Award in Bookkeeping,2014,Medical Technology,PASS,67589076,Turkey,4,YES,,67589076,37,FalklandSt#8845,Laindon Park Ward,Essex,UK,B33 0NH,37,FalklandSt#8845,Laindon Park Ward,Essex,UK,B33 0NH,Monroe Damato,BROTHER,01402-733903,mdamato@damato.co.uk
46,MR,Melina,Orizabal,FEMALE,Mexico,RESIDENT,melina@gmail.com,01420-307327,NO,China,Irish,international Baccalaureate diploma,level 3 diploma,"University of South Wales, merger of University of Wales, Newport and University of Glamorgan","Heriot-Watt University, Edinburgh and Galashiels",N/A,IAB Level 1 Award in Computerised Accounting for Business,2014,Building,MERIT,23489076,China,9,YES,,23489076,3,BirkettSt,Lymington and Pennington,Hampshire,UK,SG6 3LE,3,BirkettSt,Lymington and Pennington,Hampshire,UK,SG6 3LE,Leota Fletchen,BROTHER,01358-446391,lfletchen@gmail.com
47,MISS,Tina,Clapham,FEMALE,Bangladesh,RESIDENT,rclasham@gmail.com,01567-296442,NO,Egypt,Indian,A level,advanced apprenticeship,University of York,"University for the Creative Arts, Canterbury, Epsom, Farnham, Maidstone and Rochester",N/A,Highfield Level 2 Certificate in Computerised Payroll (RQF),2016,Geology,PASS,45689076,Egypt,4,NO,,45689076,5662,BlackstoneSt,Aylesbury,Buckinghamshire,UK,HU8 9PZ,5662,BlackstoneSt,Aylesbury,Buckinghamshire,UK,HU8 9PZ,Berry Gutoski,COUSIN,01448-211489,berry@gmail.com
